zip,state,CO2
02152,MA,728
02153,MA,728
02155,MA,728
02156,MA,728
02163,MA,728
02169,MA,728
02170,MA,728
02171,MA,728
02176,MA,728
02180,MA,728
02184,MA,728
02185,MA,728
02186,MA,728
02187,MA,728
02188,MA,728
02189,MA,728
02190,MA,728
02191,MA,728
02196,MA,728
02199,MA,728
02201,MA,728
02203,MA,728
02204,MA,728
02205,MA,728
02206,MA,728
02210,MA,728
02211,MA,728
02212,MA,728
02215,MA,728
02217,MA,728
02222,MA,728
02228,MA,728
02238,MA,728
02241,MA,728
02266,MA,728
02269,MA,728
02283,MA,728
02284,MA,728
02293,MA,728
02295,MA,728
02297,MA,728
02298,MA,728
02301,MA,728
02302,MA,728
02303,MA,728
02304,MA,728
02305,MA,728
02322,MA,728
02324,MA,728
02325,MA,728
02327,MA,728
02330,MA,728
02331,MA,728
02332,MA,728
02333,MA,728
02334,MA,728
02337,MA,728
02338,MA,728
02339,MA,728
02340,MA,728
02341,MA,728
02343,MA,728
02344,MA,728
02345,MA,728
02346,MA,728
02347,MA,728
02348,MA,728
02349,MA,728
02350,MA,728
02351,MA,728
02355,MA,728
02356,MA,728
02357,MA,728
02358,MA,728
02359,MA,728
02360,MA,728
02361,MA,728
02362,MA,728
02364,MA,728
02366,MA,728
02367,MA,728
02368,MA,728
02370,MA,728
02375,MA,728
02379,MA,728
02381,MA,728
02382,MA,728
02420,MA,728
02421,MA,728
02445,MA,728
02446,MA,728
02447,MA,728
02451,MA,728
02452,MA,728
02453,MA,728
02454,MA,728
02455,MA,728
02456,MA,728
02457,MA,728
02458,MA,728
02459,MA,728
02460,MA,728
02461,MA,728
02462,MA,728
02464,MA,728
02465,MA,728
02466,MA,728
02467,MA,728
02468,MA,728
02471,MA,728
02472,MA,728
02474,MA,728
02475,MA,728
02476,MA,728
02477,MA,728
02478,MA,728
02479,MA,728
02481,MA,728
02482,MA,728
02492,MA,728
02493,MA,728
02494,MA,728
02495,MA,728
02532,MA,728
02534,MA,728
02535,MA,728
02536,MA,728
02537,MA,728
02538,MA,728
02539,MA,728
02540,MA,728
02541,MA,728
02542,MA,728
02543,MA,728
02552,MA,728
02553,MA,728
02554,MA,728
02556,MA,728
02557,MA,728
02558,MA,728
02559,MA,728
02561,MA,728
02562,MA,728
02563,MA,728
02564,MA,728
02565,MA,728
02568,MA,728
02571,MA,728
02573,MA,728
02574,MA,728
02575,MA,728
02576,MA,728
02584,MA,728
02601,MA,728
02630,MA,728
02631,MA,728
02632,MA,728
02633,MA,728
02634,MA,728
02635,MA,728
02637,MA,728
02638,MA,728
02639,MA,728
02641,MA,728
02642,MA,728
02643,MA,728
02644,MA,728
02645,MA,728
02646,MA,728
02648,MA,728
02649,MA,728
02650,MA,728
02651,MA,728
02652,MA,728
02653,MA,728
02655,MA,728
02657,MA,728
02659,MA,728
02660,MA,728
02661,MA,728
02662,MA,728
02663,MA,728
02664,MA,728
02666,MA,728
02667,MA,728
02668,MA,728
02669,MA,728
02670,MA,728
02671,MA,728
02672,MA,728
02673,MA,728
02675,MA,728
02702,MA,728
02703,MA,728
02712,MA,728
02713,MA,728
02714,MA,728
02715,MA,728
02717,MA,728
02718,MA,728
02719,MA,728
02720,MA,728
02721,MA,728
02722,MA,728
02723,MA,728
02724,MA,728
02725,MA,728
02726,MA,728
02738,MA,728
02739,MA,728
02740,MA,728
02741,MA,728
02742,MA,728
02743,MA,728
02744,MA,728
02745,MA,728
02746,MA,728
02747,MA,728
02748,MA,728
02760,MA,728
02761,MA,728
02762,MA,728
02763,MA,728
02764,MA,728
02766,MA,728
02767,MA,728
02768,MA,728
02769,MA,728
02770,MA,728
02771,MA,728
02777,MA,728
02779,MA,728
02780,MA,728
02783,MA,728
02790,MA,728
02791,MA,728
02801,RI,728
02802,RI,728
02804,RI,728
02806,RI,728
02807,RI,728
02808,RI,728
02809,RI,728
02812,RI,728
02813,RI,728
02814,RI,728
02815,RI,728
02816,RI,728
02817,RI,728
02818,RI,728
02822,RI,728
02823,RI,728
02824,RI,728
02825,RI,728
02826,RI,728
02827,RI,728
02828,RI,728
02829,RI,728
02830,RI,728
02831,RI,728
02832,RI,728
02833,RI,728
02835,RI,728
02836,RI,728
02837,RI,728
02838,RI,728
02839,RI,728
02840,RI,728
02841,RI,728
02842,RI,728
02852,RI,728
02857,RI,728
02858,RI,728
02859,RI,728
02860,RI,728
02861,RI,728
02862,RI,728
02863,RI,728
02864,RI,728
02865,RI,728
02871,RI,728
02872,RI,728
02873,RI,728
02874,RI,728
02875,RI,728
02876,RI,728
02877,RI,728
02878,RI,728
02879,RI,728
02880,RI,728
02881,RI,728
02882,RI,728
02883,RI,728
02885,RI,728
02886,RI,728
02887,RI,728
02888,RI,728
02889,RI,728
02891,RI,728
02892,RI,728
02893,RI,728
02894,RI,728
02895,RI,728
02896,RI,728
02898,RI,728
02901,RI,728
02902,RI,728
02903,RI,728
02904,RI,728
